,Region,Country_Code,Country_or_area,City_Code,City,data_sources_UN,City_Definition,Latitude,Longitude,year,population
0,Africa,12,Algeria,20009,Annaba,"Censuses of 1954, 1966, 1977, 1987, 1998 and 2008.",Urban Agglomeration,36.9,7.76667,1950,99.741
1,Africa,12,Algeria,20011,Batna,"Censuses of 1954, 1966, 1977, 1987, 1998 and 2011.",City Proper,35.55597,6.17414,1950,13.046
2,Africa,12,Algeria,20015,Blida,"Censuses of 1954, 1966, 1977, 1987, 1998 and 2008.",Urban Agglomeration,36.480781,2.831943,1950,33.97
3,Africa,12,Algeria,20006,El Djazaïr  (Algiers),"Censuses of 1954, 1960, 1966, 1977, 1987, 1998 and 2008.",Urban Agglomeration,36.7525,3.04197,1950,516.45
4,Africa,12,Algeria,20020,El Djelfa,"Censuses of 1977, 1987, 1998 and 2008.",Urban Agglomeration,34.67279,3.263,1950,10.45
5,Africa,12,Algeria,20019,Qacentina,"Censuses of 1954, 1966, 1977, 1987, 1998 and 2008.",Urban Agglomeration,36.354921,6.607293,1950,88.001
6,Africa,12,Algeria,20037,Sétif,"Censuses of 1954, 1966, 1977, 1987, 1998 and 2008.",City Proper,36.19112,5.41373,1950,41.289
7,Africa,12,Algeria,20035,Wahran (Oran),"Censuses of 1954, 1966, 1977, 1987, 1998 and 2008.",Urban Agglomeration,35.69111,-0.64167,1950,268.935
8,Africa,24,Angola,895000001,Benguela,"Censuses of 1960, 1970 and 2014; Estimates for 1950 and 1983; UN Estimate for 1993.",Urban Agglomeration,-12.576,13.405,1950,14.364
9,Africa,24,Angola,204043,Cabinda,"Censuses of 1960, 1970 and 2014; UN Estimate for 1993.",Urban Agglomeration,-5.55,12.2,1950,4.722
10,Africa,24,Angola,895000011,Cuito,Censuses of 1970 and 2014; Estimate for 1950.,City Proper,-12.383,16.933,1950,8.632
11,Africa,24,Angola,20050,Huambo,"Censuses of 1960, 1970 and 2014; Estimates for 1950, 1983 and 1993.",Urban Agglomeration,-12.77611,15.73917,1950,15.306
12,Africa,24,Angola,895000000,Lobito,"Censuses of 1960, 1970 and 2014; Estimates for 1950 and 1983.",Urban Agglomeration,-12.364,13.536,1950,23.027
13,Africa,24,Angola,20049,Luanda,"Censuses of 1960, 1970, 1983 and 2014; Estimates for 1950, 1993 and 2018.",Urban Agglomeration,-8.83682,13.23432,1950,138.413
14,Africa,24,Angola,204044,Lubango,"Censuses of 1960, 1970 and 2014; Estimate for 1950; UN Estimate for 1993.",Urban Agglomeration,-14.91717,13.4925,1950,11.555
15,Africa,24,Angola,895000004,Malanje,"Censuses of 1960, 1970 and 2014; Estimate for 1950.",Urban Agglomeration,-9.54,16.341,1950,9.176
16,Africa,24,Angola,895000012,Uige,"Censuses of 1960, 1970 and 2014.",City Proper,-7.1069,15.4406,1950,3.201
17,Africa,204,Benin,204024,Abomey-Calavi,"Censuses of 1979, 1992, 2002 and 2013.",Urban Agglomeration,6.44852,2.35566,1950,11.817
18,Africa,204,Benin,20888,Cotonou,"Censuses of 1979, 1992, 2002 and 2013; Estimates for 1951, 1956 and 1965; Sample Survey of 1961.",City Proper,6.36536,2.41833,1950,20.174
19,Africa,204,Benin,20889,Djougou,"Censuses of 1979, 1992, 2002 and 2013; Sample Survey of 1961.",Urban Agglomeration,9.70853,1.66598,1950,2.365
20,Africa,204,Benin,20890,Parakou,"Censuses of 1979, 1992, 2002 and 2013; Sample Survey of 1961.",City Proper,9.33716,2.63031,1950,5.567
21,Africa,854,Burkina Faso,23191,Bobo-Dioulasso,"Censuses of 1951, 1960, 1975, 1985, 1996 and 2006; Estimate for 2015.",City Proper,11.17715,-4.2979,1950,36.114
